Feature_Name,Category,Mean_Attention,Ret_Dir_Correct_Attn,Ret_Dir_Wrong_Attn,Ret_Dir_Diff_(Hero_Score),Vol_Accurate_Attn,Vol_Inaccurate_Attn,Vol_Diff_(Hero_Score),Corr_with_Abs_Return,Corr_with_Volatility,Corr_with_Direction
Volatility_Ratio,Basic Technical,0.012043118,0.012037283,0.01204873,-1.1446886e-05,0.01190652,0.012179715,-0.00027319416,-0.0070880577,0.32837003,-0.036887206
Ret_ZScore_20,Statistical Features,0.0120428335,0.01211737,0.011971155,0.00014621485,0.011968215,0.012117468,-0.00014925282,-0.33714193,-0.30217654,-0.30305743
Drawdown_From_60D_High,Other/Unknown,0.012006093,0.012042765,0.011970798,7.196702e-05,0.011971661,0.012040501,-6.884057e-05,-0.15808904,-0.03814668,-0.13298589
Vol_Term_Slope,Other/Unknown,0.012002908,0.011984711,0.012020416,-3.5705045e-05,0.011858304,0.012147517,-0.0002892129,-0.436918,0.048508614,-0.4764811
VIX_Quantile,Market Sentiment,0.012001245,0.012013352,0.011989592,2.3759902e-05,0.0120401215,0.01196236,7.776171e-05,-0.046244353,-0.493157,0.03525201
Large_Down_Move,Other/Unknown,0.011986708,0.012004104,0.011969962,3.4142286e-05,0.012152315,0.01182109,0.00033122487,0.4588427,0.04542398,0.50124407
Vol_Term_Structure,Other/Unknown,0.011975944,0.012003628,0.0119493045,5.4323114e-05,0.012026594,0.011925284,0.0001013102,-0.44182205,-0.5839499,-0.3727035
Drawdown_Bounce,Pattern Recognition,0.01196931,0.011952407,0.011985552,-3.314484e-05,0.01211316,0.011825439,0.00028772186,0.36533138,0.14178163,0.37576675
Breakout_Confirm,Pattern Recognition,0.011962609,0.011907577,0.012015573,-0.000107996166,0.011800015,0.01212523,-0.00032521505,-0.48206955,-0.16766897,-0.5213367
2Day_Uptrend,Pattern Recognition,0.011942887,0.01196796,0.011918753,4.920643e-05,0.012036314,0.011849446,0.00018686801,0.45066267,0.060152307,0.47725913
Low_Volatility,Volatility,0.011940689,0.011910703,0.011969547,-5.8843754e-05,0.012161904,0.011719489,0.00044241548,0.2804146,-0.08246503,0.29566512
Sentiment_Fear_Rank,Market Sentiment,0.011922693,0.011956835,0.011889857,6.6977926e-05,0.011802307,0.012043087,-0.00024077948,-0.46231642,-0.45461357,-0.4260052
Corr_Price_VIX,Market Sentiment,0.011921672,0.011949574,0.011894843,5.4731034e-05,0.011933458,0.011909895,2.3563392e-05,-0.39262623,-0.66146916,-0.3260287
RSI_Overbought,Technical Analysis,0.011880527,0.011942769,0.0118206795,0.00012208987,0.011604754,0.012156328,-0.00055157393,-0.24392192,0.07813491,-0.25831738
Dist_From_Year_High,Other/Unknown,0.0118739195,0.011859554,0.011887722,-2.8167851e-05,0.011993587,0.011754234,0.0002393527,-0.0075794235,-0.5060078,0.037901744
Breakout_High,Pattern Recognition,0.011870895,0.011861851,0.0118796155,-1.7764047e-05,0.0116399145,0.0121018905,-0.00046197604,-0.28387535,0.29452452,-0.3506607
Gap_Down,Basic Technical,0.0118692415,0.011866757,0.011871641,-4.8838556e-06,0.0116640655,0.012074425,-0.00041035935,-0.41197312,-0.06851093,-0.42735222
Sentiment_Change,Market Sentiment,0.011856762,0.011855286,0.011858188,-2.9020011e-06,0.012093677,0.011619852,0.00047382526,0.32194304,-0.24914245,0.37924612
RSI_Near_50,Technical Analysis,0.0118510965,0.01185976,0.011842749,1.7010607e-05,0.012063633,0.011638552,0.00042508077,0.5043597,0.20555617,0.4962355
RSI_Trend,Technical Analysis,0.011849894,0.01183982,0.011859572,-1.975149e-05,0.01176008,0.01193969,-0.00017961022,0.10089907,0.40697956,0.05111084
Gold_DXY_Ratio,Macro Finance,0.011845464,0.011809426,0.011880134,-7.070787e-05,0.011921167,0.011769761,0.00015140604,0.57247144,0.5582714,0.51312727
Vol_Price_Trend_Sync,Smart Money,0.011832125,0.011791798,0.011870906,-7.910747e-05,0.011787773,0.011876467,-8.8693574e-05,-0.5632548,-0.4322151,-0.5395429
VIX_Rank_Year,Market Sentiment,0.011795902,0.0117795,0.011811699,-3.2198615e-05,0.01165966,0.0119321635,-0.00027250312,0.030882746,0.39595965,-0.022896409
Vol_Trend_Consistency,Volume Factors,0.011783859,0.0117702065,0.011796991,-2.6784837e-05,0.011845738,0.011721977,0.00012376066,0.4803687,0.5558201,0.42641243
Corr_SSE_60,Macro Finance,0.011737394,0.011776323,0.0116999205,7.640291e-05,0.0116583165,0.011816448,-0.00015813112,-0.2071721,-0.2810294,-0.18449949
BB_Pos_Norm,Technical Analysis,0.011727811,0.011730673,0.011725056,5.6168064e-06,0.011867103,0.011588516,0.00027858745,0.53881484,0.33616975,0.51532495
CNH_Change_5D,Macro Finance,0.011727556,0.011742824,0.011712869,2.995506e-05,0.011732376,0.011722734,9.641983e-06,0.17875382,-0.043297987,0.19975561
BB_Touch_Lower,Technical Analysis,0.011725125,0.011688988,0.0117598735,-7.0885755e-05,0.011714347,0.011735896,-2.1548942e-05,-0.37377265,-0.46249795,-0.32810006
MA5_Below_MA20,Other/Unknown,0.0117207775,0.01176353,0.011679648,8.388143e-05,0.01149309,0.011948461,-0.0004553711,-0.25661105,0.166907,-0.2860879
CNH_Trend_Dev,Macro Finance,0.011715233,0.011752176,0.011679701,7.247552e-05,0.011727007,0.011703467,2.354011e-05,-0.13909283,-0.65665215,-0.06913535
Down_Days_10D,Other/Unknown,0.011712654,0.01168338,0.011740798,-5.74179e-05,0.011628336,0.011796958,-0.00016862154,-0.43122965,-0.36012048,-0.40553293
MFI,Smart Money,0.011690918,0.011689401,0.011692386,-2.9848889e-06,0.011796359,0.0115854805,0.00021087844,0.16379538,-0.068883404,0.17132354
BB_Width_Compressed,Technical Analysis,0.011683185,0.011656879,0.011708478,-5.1598996e-05,0.011742474,0.011623881,0.000118592754,0.29303527,0.4835257,0.21053275
SSE_Gap,Macro Finance,0.011669149,0.011635382,0.011701628,-6.6245906e-05,0.011657536,0.011680762,-2.3226254e-05,-0.13529493,0.30174974,-0.21562792
RSI_Oversold,Technical Analysis,0.011659268,0.011600191,0.011716122,-0.000115931034,0.0118613085,0.011457246,0.00040406268,0.5172449,0.36223587,0.4732162
Return_Volatility,Statistical Features,0.011630009,0.01159591,0.0116628185,-6.690808e-05,0.011497913,0.0117621105,-0.0002641976,-0.5015266,-0.34702283,-0.47794414
Realized_Vol_GK,Other/Unknown,0.011624897,0.011623756,0.011626007,-2.2510067e-06,0.011667879,0.011581928,8.595176e-05,-0.12503384,-0.52470696,-0.055989556
BB_Width,Technical Analysis,0.011610308,0.011563901,0.011654946,-9.104516e-05,0.011672838,0.01154777,0.00012506731,0.094563045,-0.23316428,0.09601934
KDJ_J,Technical Analysis,0.011588483,0.011551437,0.01162415,-7.271301e-05,0.011443355,0.011733642,-0.00029028673,-0.33590928,0.115547255,-0.40064862
US10Y_Rank_Year,Other/Unknown,0.011580324,0.011601507,0.011559953,4.155375e-05,0.011452245,0.011708406,-0.0002561612,0.09796199,0.35565227,0.047481082
Strong_Momentum_Up,Momentum,0.011536267,0.011535323,0.011537157,-1.8337741e-06,0.011615089,0.011457426,0.0001576636,0.12732996,0.078156516,0.123492196
Vol_Pullback_Low,Volume Factors,0.011487434,0.011505971,0.011469608,3.636256e-05,0.011380219,0.011594655,-0.00021443609,-0.144678,-0.17815948,-0.12476787
Choppiness,Other/Unknown,0.011474424,0.011499022,0.011450782,4.8239715e-05,0.011552392,0.01139648,0.00015591178,0.04922164,-0.331235,0.067744195
MACD_Hist_Slope,Technical Analysis,0.011454728,0.01151234,0.0113993175,0.000113022514,0.011500965,0.011408497,9.2468224e-05,0.134406,0.077109344,0.14177984
Bear_Regime_Score,Other/Unknown,0.011451936,0.011470825,0.011433771,3.705453e-05,0.011527991,0.011375882,0.00015210919,-0.23498099,-0.4728058,-0.18046124
Industry_Diff,Macro Finance,0.011451157,0.01140578,0.011494797,-8.901674e-05,0.0114799505,0.011422357,5.759392e-05,0.50489557,0.6717925,0.43408638
Vol_Expansion_Down,Other/Unknown,0.0114491945,0.011456157,0.011442488,1.3669021e-05,0.011498719,0.011399663,9.90564e-05,-0.10386513,-0.11086169,-0.053840593
US10Y_Change,Macro Finance,0.011414142,0.011432354,0.01139659,3.576465e-05,0.011347121,0.011481133,-0.00013401266,-0.39516425,-0.28840292,-0.3860425
Shadow_Upper_Pct,Pattern Recognition,0.011401141,0.011363154,0.011437686,-7.453188e-05,0.011484203,0.011318084,0.00016611908,-0.15115272,-0.42677748,-0.094400585
Down_Days_5D,Other/Unknown,0.011385549,0.011399562,0.01137206,2.7501956e-05,0.011345707,0.011425377,-7.966999e-05,0.29769164,0.30547577,0.26240614
Drawdown_From_20D_High,Other/Unknown,0.011369117,0.01130934,0.011426615,-0.00011727493,0.011317107,0.011421126,-0.00010401942,0.10596748,0.42046744,0.05737573
KDJ_D,Technical Analysis,0.011337211,0.011386137,0.011290154,9.5983036e-05,0.011356331,0.011318102,3.822986e-05,-0.31061307,-0.56296194,-0.24677902
US10Y_Quantile_Rank,Other/Unknown,0.011289722,0.011285074,0.011294184,-9.110197e-06,0.011224074,0.011355359,-0.00013128482,-0.33142292,-0.35914433,-0.29294166
Range_Pct,Pattern Recognition,0.0112551665,0.011220238,0.011288764,-6.8525784e-05,0.011426438,0.011083889,0.00034254882,0.14019164,-0.2372107,0.17332324
Trend_2Day,Pattern Recognition,0.011127854,0.011083614,0.011170411,-8.679647e-05,0.011347631,0.010908081,0.0004395498,0.049715698,-0.29669738,0.07951471
VIX_Quantile_Rank,Other/Unknown,0.010978928,0.010977634,0.010980204,-2.569519e-06,0.011086238,0.010871648,0.00021458976,0.12929702,-0.30254337,0.19413769
